Demand,Avail_Sol,Avail_Wind_On,Avail_Wind_Off,Hyd_In,HydRoR_In
12373.99929,0,0.332427692,0.818120122,0,1323.621539
12359.6234,0,0.351717746,0.826656774,0,1323.621539
12375.31547,0,0.357111978,0.819609771,0,1323.621539
12768.85097,0,0.366138911,0.814173468,0,1323.621539
13634.51598,0,0.364281028,0.804088108,0,1323.621539
14192.96468,0,0.356544668,0.793736552,0,1323.621539
14048.31827,0,0.350775739,0.788311011,0,1323.621539
13992.34486,0,0.342846373,0.763924609,0,1323.621539
14048.93695,0.000194884,0.327176837,0.705118159,0,1323.621539
14046.49379,0.003855327,0.30751639,0.679009782,0,1323.621539
14035.64749,0.010149977,0.259201848,0.650830354,0,1323.621539
14023.68247,0.01288255,0.264187064,0.655791168,0,1323.621539
14016.90409,0.010183097,0.26444719,0.646650107,0,1323.621539
14015.22827,0.003929766,0.275967153,0.67208703,0,1323.621539
14067.71939,5.67E-05,0.282021218,0.688854027,0,1323.621539
14181.72344,0,0.28159051,0.678346615,0,1323.621539
14212.96644,0,0.276219824,0.648085654,0,1323.621539
14194.65702,0,0.266407508,0.604894923,0,1323.621539
14106.77088,0,0.257518268,0.574458235,0,1323.621539
13983.47771,0,0.252592238,0.563171535,0,1323.621539
13685.75774,0,0.257239681,0.542702552,0,1323.621539
13096.7658,0,0.270295561,0.530877765,0,1323.621539
12445.18951,0,0.238244395,0.465721829,0,1323.621539
12257.41693,0,0.269812433,0.424669958,0,1323.621539
12120.89211,0,0.275917575,0.401212371,0,1323.621539
12097.6806,0,0.281691032,0.396412623,0,1323.621539
12106.83757,0,0.274798349,0.413771117,0,1323.621539
12483.10502,0,0.257395951,0.440469536,0,1323.621539
13425.24225,0,0.24591253,0.447616442,0,1323.621539
14008.41385,0,0.228294075,0.421763825,0,1323.621539
13878.76276,0,0.214022257,0.383688993,0,1323.621539
13806.53417,0,0.202466532,0.3545872,0,1323.621539
13857.59273,0.00016574,0.196588051,0.353094725,0,1323.621539
13869.51871,0.004328869,0.196089687,0.33636422,0,1323.621539
13876.06583,0.014118725,0.191259093,0.297894425,0,1323.621539
13884.25574,0.017120704,0.189862484,0.30261919,0,1323.621539
13890.22924,0.019766958,0.187767954,0.33144688,0,1323.621539
13890.70076,0.005660931,0.196473226,0.37908022,0,1323.621539
13945.19956,9.86E-05,0.202636866,0.438375666,0,1323.621539
14048.36933,0,0.214593886,0.491459091,0,1323.621539
14066.49555,0,0.223433906,0.52527231,0,1323.621539
14052.69854,0,0.228347414,0.544640512,0,1323.621539
13929.58407,0,0.232764631,0.576962326,0,1323.621539
13799.75579,0,0.241371548,0.599661476,0,1323.621539
13529.67039,0,0.256536601,0.629384288,0,1323.621539
12969.61644,0,0.268986019,0.654173922,0,1323.621539
12408.34016,0,0.301748542,0.702659052,0,1323.621539
12255.2756,0,0.34292061,0.743689302,0,1323.621539
12119.43778,0,0.376057327,0.766817501,0,1323.621539
12101.12986,0,0.403072616,0.738287925,0,1323.621539
12121.11285,0,0.425990546,0.693953218,0,1323.621539
12510.53237,0,0.436343212,0.633121325,0,1323.621539
13433.41564,0,0.447953926,0.570724157,0,1323.621539
14060.70075,0,0.448826984,0.509953014,0,1323.621539
13897.30795,0,0.444047494,0.474601358,0,1323.621539
13830.14136,0,0.43053836,0.459796193,0,1323.621539
13878.27774,0.000184776,0.411486936,0.443934031,0,1323.621539
13883.21361,0.005642295,0.377247902,0.417978964,0,1323.621539
13889.79677,0.02170623,0.328878419,0.373025547,0,1323.621539
13886.81603,0.030490604,0.299898702,0.358419866,0,1323.621539
13883.15354,0.018167403,0.268530096,0.377617004,0,1323.621539
13883.43135,0.004755517,0.236149477,0.420061778,0,1323.621539
13948.74792,0.000110352,0.212509682,0.454135835,0,1323.621539
14081.2371,0,0.191319906,0.471251976,0,1323.621539
14125.19593,0,0.173287531,0.483419732,0,1323.621539
14107.39556,0,0.15609643,0.483527149,0,1323.621539
13995.79712,0,0.146779608,0.466419683,0,1323.621539
13882.16547,0,0.131500546,0.431396714,0,1323.621539
13629.35186,0,0.118682503,0.40905747,0,1323.621539
13116.14289,0,0.11302248,0.406729275,0,1323.621539
12479.70382,0,0.102982238,0.373551465,0,1323.621539
12322.31155,0,0.103669569,0.360175403,0,1323.621539
12211.05248,0,0.106196518,0.367051036,0,1323.621539
12190.88403,0,0.103402697,0.378389044,0,1323.621539
12217.97651,0,0.103801286,0.397573413,0,1323.621539
12655.51213,0,0.105456824,0.424853044,0,1323.621539
13558.18341,0,0.117414541,0.456058881,0,1323.621539
14137.88174,0,0.122624515,0.482363789,0,1323.621539
13984.72407,0,0.127208355,0.515111049,0,1323.621539
13923.07599,0,0.13758624,0.559374065,0,1323.621539
13976.19479,0.000255302,0.149290508,0.596751703,0,1323.621539
13976.56569,0.004759005,0.155610659,0.621670097,0,1323.621539
13968.99596,0.010459792,0.153505394,0.639650084,0,1323.621539
13930.27482,0.015097094,0.176072198,0.687455312,0,1323.621539
13947.07811,0.012972342,0.19276662,0.718802168,0,1323.621539
13940.19762,0.004539357,0.223235313,0.737212931,0,1323.621539
14009.71727,0.000151128,0.249360658,0.750808091,0,1323.621539
14113.42312,0,0.26491919,0.758278172,0,1323.621539
14134.40846,0,0.278097985,0.772682963,0,1323.621539
14107.39556,0,0.29389131,0.794450382,0,1323.621539
13983.42816,0,0.308183798,0.810828096,0,1323.621539
13868.39248,0,0.334983234,0.837020947,0,1323.621539
13602.72488,0,0.36001144,0.852643489,0,1323.621539
13071.91676,0,0.388689213,0.867825016,0,1323.621539
12443.34926,0,0.386071659,0.854905365,0,1323.621539
