L_ind,line,dist,cost,converter_cost,M,C,B,efficiency,lifetime,tcap_min,tcap_max
1,"[2, 1]",1666.7669461194625,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
2,"[3, 1]",1072.9204113396254,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
3,"[3, 2]",669.1066852108761,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
4,"[6, 4]",553.5045452124784,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
5,"[6, 5]",869.952364563017,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
6,"[8, 5]",1046.4741530394303,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
7,"[10, 5]",1138.6401482164024,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
8,"[9, 6]",1074.7084731264636,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
