node,Hydro_cap_min,Hydro_cap_max,HydroRoR,Min_Hyd_Level,Max_Hyd_Level
1,0,0,3149,202125,768075
2,26819,26819,1328,7578508,28798331
3,15949,15949,0,4045250,15371950
4,0,0,6,0,0
5,8578,8578,11222,1045750,3973850
6,1451,1451,4102,343325,1304635
7,0,0,216,783750,2978250
8,13941,13941,16659,4627750,17585450
