node,HydroRoR,Fmin,hyd_in_avg,hydror_avg,hyd_flow_min
1,7920.614994026283,0.05,1239.9945540165638,2942.8787627063125,1
2,4648.60244233378,0.05,1246.6588245625078,679.5205333045114,1
3,14276.272067880107,0.05,126.18576050853166,1325.844715138462,1
4,0.0,0.05,0.0,0.0,1
5,0.0,0.05,26202.868452437157,0.0,1
