L_ind,line,dist,cost,converter_cost,M,C,B,efficiency,lifetime,tcap_min,tcap_max
1,"[2, 1]",675.8099886941129,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
2,"[3, 1]",471.50905847744264,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
3,"[4, 1]",553.5045452124784,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
4,"[3, 2]",778.8812815266865,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
