  52   1.59801967e+05  1.52496421e+05  8.76e-01 1.07e-04  2.59e-01  1982s
  53   1.59290858e+05  1.52717040e+05  7.79e-01 1.06e-04  2.42e-01  2022s
  54   1.58980690e+05  1.53300568e+05  7.25e-01 1.04e-04  2.19e-01  2058s
  55   1.58539348e+05  1.53947536e+05  6.48e-01 1.01e-04  1.91e-01  2098s
  56   1.58027508e+05  1.54773923e+05  5.54e-01 9.81e-05  1.57e-01  2138s
  57   1.57769382e+05  1.55035345e+05  5.10e-01 9.65e-05  1.44e-01  2181s
  58   1.57510631e+05  1.55272355e+05  4.67e-01 9.53e-05  1.31e-01  2221s
  59   1.57332101e+05  1.55676243e+05  4.35e-01 9.28e-05  1.16e-01  2261s
  60   1.57128621e+05  1.55754802e+05  4.01e-01 9.22e-05  1.09e-01  2294s
  61   1.56918522e+05  1.55847166e+05  3.65e-01 9.18e-05  1.02e-01  2336s
  62   1.56867172e+05  1.55947952e+05  3.57e-01 9.10e-05  9.74e-02  2376s
  63   1.56522732e+05  1.56096397e+05  2.99e-01 8.96e-05  8.50e-02  2415s
  64   1.56423236e+05  1.56218670e+05  2.83e-01 8.85e-05  7.90e-02  2458s
  65   1.56278357e+05  1.56364524e+05  2.60e-01 8.71e-05  7.12e-02  2498s
  66   1.56121183e+05  1.56442959e+05  2.34e-01 8.64e-05  6.52e-02  2538s
  67   1.56004776e+05  1.56560590e+05  2.16e-01 8.48e-05  5.84e-02  2578s
  68   1.55929219e+05  1.56637075e+05  2.04e-01 8.36e-05  5.40e-02  2621s
  69   1.55884912e+05  1.56656505e+05  1.97e-01 8.33e-05  5.23e-02  2653s
  70   1.55820255e+05  1.56701738e+05  1.87e-01 8.26e-05  4.93e-02  2693s
  71   1.55722475e+05  1.56757086e+05  1.71e-01 8.17e-05  4.50e-02  2733s
  72   1.55635421e+05  1.56788143e+05  1.58e-01 8.11e-05  4.18e-02  2776s
  73   1.55591489e+05  1.56818047e+05  1.51e-01 8.03e-05  3.96e-02  2815s
  74   1.55505721e+05  1.56837265e+05  1.38e-01 7.96e-05  3.66e-02  2855s
  75   1.55414455e+05  1.56867204e+05  1.24e-01 7.85e-05  3.30e-02  2897s
  76   1.55336067e+05  1.56881030e+05  1.11e-01 7.82e-05  3.08e-02  2939s
  77   1.55304411e+05  1.56902418e+05  1.06e-01 7.71e-05  2.87e-02  2978s
  78   1.55280448e+05  1.56924587e+05  1.02e-01 7.65e-05  2.71e-02  3017s
  79   1.55246675e+05  1.56939809e+05  9.71e-02 7.62e-05  2.58e-02  3060s
  80   1.55161857e+05  1.56957216e+05  8.43e-02 7.55e-05  2.31e-02  3101s
  81   1.55131970e+05  1.56970134e+05  7.98e-02 7.47e-05  2.14e-02  3141s
  82   1.55083988e+05  1.56976466e+05  7.27e-02 7.39e-05  1.96e-02  3183s
  83   1.55060492e+05  1.56973983e+05  6.92e-02 7.33e-05  1.87e-02  3216s
  84   1.55020927e+05  1.56971436e+05  6.33e-02 7.28e-05  1.75e-02  3256s
  85   1.55007323e+05  1.56978090e+05  6.13e-02 7.16e-05  1.60e-02  3296s
  86   1.54960066e+05  1.56976521e+05  5.43e-02 7.05e-05  1.41e-02  3338s
  87   1.54912941e+05  1.56971099e+05  4.75e-02 6.99e-05  1.28e-02  3378s
  88   1.54900733e+05  1.56966323e+05  4.57e-02 6.94e-05  1.23e-02  3411s
  89   1.54862225e+05  1.56965226e+05  4.02e-02 6.90e-05  1.12e-02  3455s
  90   1.54852154e+05  1.56956341e+05  3.87e-02 6.84e-05  1.07e-02  3495s
  91   1.54822754e+05  1.56940839e+05  3.47e-02 6.70e-05  9.28e-03  3535s
  92   1.54805707e+05  1.56922775e+05  3.23e-02 6.57e-05  8.30e-03  3578s
  93   1.54779525e+05  1.56913873e+05  2.90e-02 6.52e-05  7.53e-03  3619s
  94   1.54757586e+05  1.56900444e+05  2.62e-02 6.45e-05  6.84e-03  3659s
  95   1.54748528e+05  1.56886857e+05  2.50e-02 6.38e-05  6.37e-03  3701s
  96   1.54735801e+05  1.56872905e+05  2.35e-02 6.33e-05  6.03e-03  3745s
  97   1.54721663e+05  1.56857701e+05  2.18e-02 6.26e-05  5.52e-03  3787s
  98   1.54710467e+05  1.56848229e+05  2.04e-02 6.22e-05  5.21e-03  3830s
  99   1.54706124e+05  1.56837353e+05  1.99e-02 6.18e-05  5.03e-03  3867s
 100   1.54695973e+05  1.56820857e+05  1.87e-02 6.11e-05  4.67e-03  3910s
 101   1.54682243e+05  1.56814776e+05  1.71e-02 6.08e-05  4.32e-03  3952s
 102   1.54675843e+05  1.56807896e+05  1.64e-02 6.06e-05  4.16e-03  3997s
 103   1.54666176e+05  1.56793236e+05  1.53e-02 6.00e-05  3.86e-03  4039s
 104   1.54660145e+05  1.56781579e+05  1.46e-02 5.97e-05  3.70e-03  4082s
 105   1.54651279e+05  1.56767993e+05  1.37e-02 5.92e-05  3.44e-03  4127s
 106   1.54645036e+05  1.56755118e+05  1.30e-02 5.87e-05  3.27e-03  4170s
 107   1.54638067e+05  1.56744418e+05  1.23e-02 5.84e-05  3.09e-03  4212s
 108   1.54632785e+05  1.56733081e+05  1.17e-02 5.80e-05  2.96e-03  4258s
 109   1.54627869e+05  1.56722139e+05  1.12e-02 5.77e-05  2.84e-03  4300s
 110   1.54622866e+05  1.56712382e+05  1.07e-02 5.74e-05  2.72e-03  4343s
 111   1.54617597e+05  1.56700068e+05  1.02e-02 5.70e-05  2.58e-03  4388s
 112   1.54613980e+05  1.56691264e+05  9.82e-03 5.67e-05  2.49e-03  4431s
 113   1.54609841e+05  1.56678942e+05  9.43e-03 5.63e-05  2.36e-03  4474s
 114   1.54605957e+05  1.56676634e+05  9.04e-03 5.62e-05  2.30e-03  4519s
 115   1.54604341e+05  1.56668387e+05  8.88e-03 5.60e-05  2.25e-03  4562s
 116   1.54600440e+05  1.56661372e+05  8.52e-03 5.58e-05  2.17e-03  4605s
 117   1.54597916e+05  1.56649750e+05  8.28e-03 5.54e-05  2.09e-03  4650s
 118   1.54596150e+05  1.56636735e+05  8.11e-03 5.50e-05  2.03e-03  4693s
 119   1.54593230e+05  1.56627411e+05  7.84e-03 5.48e-05  1.97e-03  4735s
 120   1.54590617e+05  1.56618883e+05  7.60e-03 5.45e-05  1.91e-03  4780s
 121   1.54588650e+05  1.56614458e+05  7.42e-03 5.44e-05  1.87e-03  4823s
 122   1.54585488e+05  1.56608247e+05  7.13e-03 5.42e-05  1.81e-03  4866s
 123   1.54583562e+05  1.56595726e+05  6.95e-03 5.39e-05  1.75e-03  4912s
 124   1.54580701e+05  1.56589386e+05  6.70e-03 5.37e-05  1.69e-03  4954s
 125   1.54578119e+05  1.56578158e+05  6.49e-03 5.33e-05  1.62e-03  4999s
 126   1.54574312e+05  1.56570491e+05  6.16e-03 5.31e-05  1.55e-03  5048s
 127   1.54573879e+05  1.56568187e+05  6.12e-03 5.30e-05  1.54e-03  5087s
 128   1.54571959e+05  1.56557130e+05  5.96e-03 5.27e-05  1.49e-03  5132s
 129   1.54570251e+05  1.56546978e+05  5.81e-03 5.24e-05  1.45e-03  5180s
 130   1.54569125e+05  1.56543762e+05  5.71e-03 5.23e-05  1.43e-03  5224s
 131   1.54567624e+05  1.56539076e+05  5.59e-03 5.22e-05  1.40e-03  5271s
 132   1.54566169e+05  1.56529569e+05  5.47e-03 5.19e-05  1.36e-03  5311s
 133   1.54564425e+05  1.56525946e+05  5.33e-03 5.18e-05  1.33e-03  5356s
 134   1.54562772e+05  1.56522846e+05  5.19e-03 5.18e-05  1.30e-03  5403s
 135   1.54561425e+05  1.56516669e+05  5.09e-03 5.16e-05  1.28e-03  5447s
 136   1.54559479e+05  1.56506924e+05  4.94e-03 5.13e-05  1.22e-03  5492s
 137   1.54556698e+05  1.56502885e+05  4.74e-03 5.11e-05  1.15e-03  5539s
