Demand_ftr,Demand,Avail_Sol,Avail_Wind_On,Avail_Wind_Off,Hyd_In,HydRoR_In
22335.25818,0.879071977,0,0.263813841,0.515737203,11191.97273,0
23203.58392,0.913247575,0,0.260214267,0.512555786,11191.97273,0
22942.47436,0.902970815,0,0.257530099,0.522263751,11191.97273,0
22879.0024,0.900472683,4.91E-05,0.25855828,0.534253635,11191.97273,0
22888.8828,0.900861556,0.002126081,0.25596124,0.533314231,11191.97273,0
22897.97445,0.901219386,0.006186171,0.277859835,0.546221345,11191.97273,0
22856.1062,0.899571534,0.009147225,0.272431392,0.539910433,11191.97273,0
22841.88637,0.899011869,0.009157192,0.279834318,0.53940231,11191.97273,0
22823.39102,0.898283928,0.007265,0.290192426,0.536975837,11191.97273,0
22836.49527,0.898799686,0.003049024,0.302152347,0.529094643,11191.97273,0
22890.44558,0.900923064,0.000274355,0.307072817,0.521565594,11191.97273,0
23048.97929,0.90716264,0,0.313110108,0.525635474,11191.97273,0
23057.05856,0.907480624,0,0.323890445,0.536359222,11191.97273,0
23034.20659,0.906581216,0,0.327753843,0.543129394,11191.97273,0
22649.1902,0.891427725,0,0.344503619,0.549827594,11191.97273,0
22302.13265,0.877768221,0,0.352922785,0.550340199,11191.97273,0
21938.61923,0.863461045,0,0.36249134,0.548314048,11191.97273,0
21182.32711,0.83369487,0,0.395294085,0.530967824,11191.97273,0
20509.71744,0.807222272,0,0.39743344,0.51973101,11191.97273,0
20193.67223,0.794783352,0,0.395836923,0.502297812,11191.97273,0
20013.73385,0.78770133,0,0.388003014,0.477439229,11191.97273,0
19979.53206,0.786355215,0,0.380997248,0.449579294,11191.97273,0
20007.48027,0.787455201,0,0.380004046,0.434952412,11191.97273,0
20770.43877,0.817483752,0,0.382205291,0.43318317,11191.97273,0
22335.25818,0.879071977,0,0.387883862,0.425789512,11191.97273,0
23194.99846,0.912909669,0,0.389426406,0.409046681,11191.97273,0
22973.8479,0.904205616,0,0.388532824,0.39347775,11191.97273,0
22896.23966,0.901151108,4.33E-05,0.38906801,0.384399764,11191.97273,0
22939.22102,0.90284277,0.001821581,0.390808399,0.387816461,11191.97273,0
22898.51749,0.901240759,0.009038346,0.400099228,0.402445912,11191.97273,0
22892.48506,0.901003334,0.022304725,0.392043944,0.429831894,11191.97273,0
22887.78198,0.90081823,0.028059727,0.381771004,0.441732919,11191.97273,0
22881.10822,0.900555564,0.018337093,0.372939166,0.452189626,11191.97273,0
22894.25424,0.901072966,0.006335297,0.36915468,0.44957348,11191.97273,0
22943.89954,0.903026907,0.000358405,0.35926605,0.448075345,11191.97273,0
23122.3808,0.91005158,0,0.355345292,0.456369118,11191.97273,0
23147.33613,0.911033773,0,0.350313813,0.466262442,11191.97273,0
23105.63743,0.909392594,0,0.346306828,0.475156501,11191.97273,0
22748.0434,0.895318394,0,0.345117471,0.482226691,11191.97273,0
22423.83783,0.882558298,0,0.340002684,0.493950473,11191.97273,0
22109.33082,0.870179919,0,0.337513629,0.50394807,11191.97273,0
21430.28328,0.843453939,0,0.349346766,0.511907208,11191.97273,0
20403.88087,0.803056752,0,0.344848855,0.503674309,11191.97273,0
20138.9307,0.792628833,0,0.343878109,0.478773306,11191.97273,0
19968.44026,0.785918663,0,0.359225372,0.463400676,11191.97273,0
19957.67895,0.785495119,0,0.377077309,0.437222436,11191.97273,0
20004.21465,0.787326673,0,0.39917413,0.423125861,11191.97273,0
20183.62842,0.794388047,0,0.41278092,0.427731598,11191.97273,0
20152.36299,0.793157501,0,0.42272231,0.441171538,11191.97273,0
20550.74287,0.808836952,0,0.435932125,0.44719044,11191.97273,0
21094.27577,0.830229342,0,0.449300527,0.449389572,11191.97273,0
