Demand,Avail_Sol,Avail_Wind_On,Avail_Wind_Off,Hyd_In,HydRoR_In
42058.69613,0,0.530053351,0.704084454,7983.408064,1543.331869
40708.60529,0,0.503831622,0.685897988,7983.408064,1543.331869
40589.53677,0,0.484868803,0.672761222,7983.408064,1543.331869
40739.30857,0,0.454605589,0.641238687,7983.408064,1543.331869
42411.43932,0,0.437469797,0.622178038,7983.408064,1543.331869
45927.79599,0,0.424148968,0.630575054,7983.408064,1543.331869
51502.37328,0,0.420489438,0.662171919,7983.408064,1543.331869
55413.80508,0,0.421901271,0.703161578,7983.408064,1543.331869
57277.66195,0.004518654,0.424189245,0.700931298,7983.408064,1543.331869
56551.28202,0.249499137,0.423026053,0.683030505,7983.408064,1543.331869
55547.30711,0.413174761,0.41689616,0.62351081,7983.408064,1543.331869
54795.62313,0.520764028,0.454302634,0.562900941,7983.408064,1543.331869
54338.80705,0.585434242,0.515547077,0.563208647,7983.408064,1543.331869
54079.06732,0.601323378,0.564523534,0.577093966,7983.408064,1543.331869
53938.9121,0.528152974,0.58794909,0.593045646,7983.408064,1543.331869
53972.78919,0.403824092,0.593560093,0.618342794,7983.408064,1543.331869
54465.49446,0.272306953,0.584724799,0.658445035,7983.408064,1543.331869
55495.30958,0.125610175,0.593581564,0.706251197,7983.408064,1543.331869
55637.37313,0.002336469,0.590779689,0.750946549,7983.408064,1543.331869
54790.90132,1.96E-05,0.573666788,0.744462605,7983.408064,1543.331869
53407.40615,0,0.560740208,0.739803906,7983.408064,1543.331869
50403.95647,0,0.542624293,0.741990025,7983.408064,1543.331869
48008.14395,0,0.495165361,0.718021768,7983.408064,1543.331869
43997.46196,0,0.494060382,0.690382672,7983.408064,1543.331869
41947.56936,0,0.483288392,0.665434823,7983.408064,1543.331869
40621.51995,0,0.473993141,0.653483035,7983.408064,1543.331869
40442.04517,0,0.456385003,0.636144547,7983.408064,1543.331869
40579.08134,0,0.448648265,0.626598015,7983.408064,1543.331869
42050.17209,0,0.446085231,0.633860376,7983.408064,1543.331869
45572.54488,0,0.442953457,0.644401185,7983.408064,1543.331869
50959.86131,0,0.435386542,0.667117237,7983.408064,1543.331869
54777.84861,0,0.43123787,0.682789441,7983.408064,1543.331869
56583.38915,0.003576999,0.421156988,0.681711221,7983.408064,1543.331869
56112.23469,0.173524099,0.399536249,0.674091129,7983.408064,1543.331869
54900.10824,0.287523126,0.360280163,0.634791978,7983.408064,1543.331869
54192.79426,0.385175093,0.382729004,0.653395866,7983.408064,1543.331869
53812.97419,0.443008059,0.407344602,0.65906614,7983.408064,1543.331869
53555.11395,0.463165035,0.420626469,0.645953744,7983.408064,1543.331869
53362.60952,0.449796709,0.433130157,0.649120741,7983.408064,1543.331869
53415.06251,0.378032555,0.424646221,0.641236909,7983.408064,1543.331869
53939.01588,0.270237716,0.399166384,0.634626809,7983.408064,1543.331869
54785.5511,0.114885499,0.406136157,0.632042914,7983.408064,1543.331869
55119.77892,0.00251339,0.419220186,0.63488528,7983.408064,1543.331869
54563.02081,2.26E-05,0.429845642,0.644024837,7983.408064,1543.331869
53339.2138,0,0.437530831,0.652824778,7983.408064,1543.331869
50458.21978,0,0.444946899,0.664251618,7983.408064,1543.331869
48008.20449,0,0.441022287,0.67755831,7983.408064,1543.331869
43829.73116,0,0.435763149,0.713123904,7983.408064,1543.331869
41832.71818,0,0.429324764,0.726860498,7983.408064,1543.331869
40382.41146,0,0.426948797,0.721895394,7983.408064,1543.331869
40191.99407,0,0.428136705,0.716488614,7983.408064,1543.331869
40205.01219,0,0.417693722,0.7123475,7983.408064,1543.331869
41740.69195,0,0.413252073,0.717496288,7983.408064,1543.331869
45180.24287,0,0.404687203,0.733702355,7983.408064,1543.331869
50420.46838,0,0.3947658,0.744166498,7983.408064,1543.331869
53444.98458,0,0.383713753,0.73738534,7983.408064,1543.331869
54917.98077,0.003046922,0.370683434,0.726577829,7983.408064,1543.331869
54739.10558,0.118000807,0.359122716,0.70374786,7983.408064,1543.331869
53941.12599,0.221247033,0.329593077,0.65065216,7983.408064,1543.331869
53396.86712,0.284425031,0.342804103,0.634854976,7983.408064,1543.331869
52900.09153,0.351434044,0.370118167,0.631048381,7983.408064,1543.331869
52751.40362,0.39153627,0.405922581,0.627908676,7983.408064,1543.331869
52591.19657,0.375291776,0.425138399,0.639408768,7983.408064,1543.331869
52604.64709,0.322856507,0.426946313,0.648600533,7983.408064,1543.331869
52947.38455,0.230011993,0.404682745,0.623320015,7983.408064,1543.331869
53413.0677,0.098846113,0.399769118,0.610346507,7983.408064,1543.331869
53801.97394,0.002618846,0.401155912,0.617010543,7983.408064,1543.331869
53566.04502,2.65E-05,0.405548849,0.632278184,7983.408064,1543.331869
53031.02222,0,0.409189969,0.659430495,7983.408064,1543.331869
50559.57431,0,0.410893647,0.675751674,7983.408064,1543.331869
48210.21596,0,0.386320352,0.654018734,7983.408064,1543.331869
43773.33468,0,0.401960286,0.676193325,7983.408064,1543.331869
41794.8486,0,0.407188307,0.689125368,7983.408064,1543.331869
40352.20977,0,0.405416099,0.682936512,7983.408064,1543.331869
40105.39014,0,0.403799302,0.674203888,7983.408064,1543.331869
