Demand,Solar,WindOn,WindOff
95438.2880640016,0.0,0.5307672381573147,0.3966811899736897
93846.78712411734,0.0,0.565181653278445,0.3996542632966924
94139.40114093313,0.0,0.590980546550653,0.42053127397360673
94183.14884702,0.0,0.60538261244605,0.4463696373671073
101177.66804322784,0.0,0.6150691057825198,0.4581270924512359
114084.63485904338,0.0,0.6125993244275513,0.46350353764632884
121797.04394941345,0.0,0.5985856928015685,0.48181747844201556
126790.46185409422,0.0,0.574284133183018,0.46995586456362404
127237.53591822971,0.00012276578216967681,0.5547299047517817,0.446752770875012
126789.4277486174,0.009551095103682095,0.5446261569337913,0.41860352382970734
126580.72760793367,0.037379422185705946,0.5218549204541559,0.38395759459241235
126011.780430041,0.08126917739795358,0.48839487944612636,0.34976667808320805
125813.34567787117,0.09992473839070212,0.4691018107306858,0.3338102853776438
125813.34567787117,0.10201192927083673,0.4560867972631767,0.30965442452296466
125696.35303752295,0.06053297044750396,0.43536193325870354,0.2852264892844447
126107.0190222486,0.007619215794972707,0.4218070313269441,0.2674516698181009
126113.32454344876,0.0,0.4051711119556689,0.2570808625741889
126421.81586264662,0.0,0.3862426228166372,0.24965554738843
126493.90058100712,0.0,0.3647632557024593,0.24631663894766315
122540.99456269605,0.0,0.3410901455145061,0.244630725569831
112804.41227872744,0.0,0.3221193386230652,0.24351332395249853
106629.28925696244,0.0,0.31762003313901443,0.24742507561302174
101040.83192766263,0.0,0.30147293857317503,0.22991222228615368
97544.82397551693,0.0,0.29871344388871524,0.21046396207244306
97655.19581860499,0.0,0.2849807917047864,0.2018069461347085
96655.19060042525,0.0,0.2816753573737555,0.19782994171439305
96962.79914665509,0.0,0.26960257591214465,0.18944846114568376
96962.79914665509,0.0,0.2548720502469377,0.18526330496851628
104410.4015687022,0.0,0.2474881785437238,0.1773688254316117
118977.68147725961,0.0,0.24059288044161115,0.18130258972210372
123726.15510539801,0.0,0.23627313909277747,0.1733700476530923
127153.14282248645,0.0,0.2263154512950421,0.16874341890149644
127757.27480867617,0.00019337497115452654,0.21555092072046877,0.16199787640167165
127399.77697871049,0.03150543405490377,0.20724118333190547,0.1578515469568038
127256.25070515188,0.1838169493196825,0.2077255935674035,0.1642526908759541
126889.20631608911,0.363579060510667,0.19251617702668242,0.17672575597065468
126690.7589528769,0.4205023699483442,0.18093823782223403,0.15799967548384472
126690.7589528769,0.3471571604198429,0.17300937574851252,0.13295903686813076
126573.77892357108,0.1426764787063825,0.1709869148718144,0.11760877875229156
126573.77892357108,0.010352573505778034,0.16098669294405837,0.09476075472527969
127091.76487912385,0.0,0.15880369064187072,0.09678481221248496
127221.70906001727,0.0,0.16152932320839647,0.10248667722228719
126623.84476190055,0.0,0.16710571015840192,0.1016976730124155
122537.41302665435,0.0,0.1721555694015574,0.09725699086224587
112697.82374835951,0.0,0.17653938634193328,0.09357060563186362
106284.11241542191,0.0,0.16906888333287726,0.0892477078647613
101022.38827815208,0.0,0.1842023018411827,0.11304782575617889
