Demand_ftr,Demand,Avail_Sol,Avail_Wind_On,Avail_Wind_Off,Hyd_In,HydRoR_In
118310.3892,0.784175641,0,0.900244257,0.830448418,1116.704506,3161.85682
111452.5064,0.73872076,0,0.888258523,0.855216357,1116.704506,3161.85682
106417.558,0.70534851,0,0.879466196,0.853613916,1116.704506,3161.85682
104918.5314,0.695412779,0,0.871654607,0.856056703,1116.704506,3161.85682
104081.7449,0.689866457,0,0.858556636,0.868383401,1116.704506,3161.85682
104068.6231,0.689779484,0,0.837883195,0.873979659,1116.704506,3161.85682
104642.5,0.69358321,0,0.818921705,0.874377718,1116.704506,3161.85682
111077.8594,0.736237554,0,0.790094349,0.864554331,1116.704506,3161.85682
123996.1552,0.821861589,0,0.738931459,0.826196349,1116.704506,3161.85682
134769.9349,0.89327151,0,0.689834065,0.784754696,1116.704506,3161.85682
139230.5397,0.922836941,0,0.630238554,0.739195824,1116.704506,3161.85682
140323.1317,0.930078774,0.002401998,0.572764264,0.685129666,1116.704506,3161.85682
139650.3538,0.92561952,0.030253188,0.525367837,0.638378076,1116.704506,3161.85682
139388.1546,0.923881632,0.061867617,0.418744496,0.58406764,1116.704506,3161.85682
139040.7472,0.921578974,0.08851929,0.427560113,0.538314604,1116.704506,3161.85682
138015.3383,0.914782439,0.100372114,0.439210593,0.527538197,1116.704506,3161.85682
137338.465,0.91029604,0.078950191,0.44595102,0.532495095,1116.704506,3161.85682
137190.9631,0.90931838,0.058142145,0.424341124,0.530173249,1116.704506,3161.85682
137037.6108,0.908301942,0.016577585,0.424941126,0.513247658,1116.704506,3161.85682
137276.1155,0.90988278,0.00083594,0.460787354,0.512312069,1116.704506,3161.85682
137509.8842,0.911432227,0,0.507452758,0.524114928,1116.704506,3161.85682
136880.9849,0.907263806,0,0.544406282,0.542261386,1116.704506,3161.85682
133225.9362,0.883037699,0,0.583731316,0.603355681,1116.704506,3161.85682
125491.6367,0.831773822,0,0.61467561,0.63403303,1116.704506,3161.85682
118191.6662,0.78338873,0,0.661638304,0.662515724,1116.704506,3161.85682
111485.3248,0.738938284,0,0.669647591,0.69309825,1116.704506,3161.85682
106401.4204,0.705241548,0,0.70221291,0.714862018,1116.704506,3161.85682
104562.6687,0.693054078,0,0.743291406,0.731989028,1116.704506,3161.85682
103628.3045,0.686860999,0,0.780389045,0.722772712,1116.704506,3161.85682
103456.2445,0.685720564,0,0.806632367,0.755963302,1116.704506,3161.85682
103930.1756,0.688861837,0,0.807797874,0.78257979,1116.704506,3161.85682
110688.2101,0.733654911,0,0.800540361,0.782120489,1116.704506,3161.85682
123635.236,0.819469373,0,0.77162782,0.798411015,1116.704506,3161.85682
134030.2664,0.888368898,0,0.744108278,0.778158874,1116.704506,3161.85682
138651.8432,0.919001271,0,0.713706823,0.736039491,1116.704506,3161.85682
140032.4184,0.928151891,0.008317679,0.667825909,0.686755237,1116.704506,3161.85682
139219.9531,0.922766772,0.086467152,0.619078492,0.612301765,1116.704506,3161.85682
138863.38,0.920403362,0.137408353,0.493805418,0.517168216,1116.704506,3161.85682
138125.5224,0.915512752,0.138855892,0.458481243,0.482448597,1116.704506,3161.85682
137729.6674,0.912888977,0.1354676,0.408586835,0.484228563,1116.704506,3161.85682
137459.0546,0.911095323,0.116739117,0.359539759,0.497955542,1116.704506,3161.85682
137350.2078,0.910373873,0.080056657,0.305984943,0.484099159,1116.704506,3161.85682
138618.0914,0.91877756,0.033453361,0.278664633,0.476394435,1116.704506,3161.85682
139836.3296,0.92685219,0.002306569,0.270533187,0.478233319,1116.704506,3161.85682
139976.1144,0.927778701,0,0.264993263,0.481275565,1116.704506,3161.85682
139378.362,0.923816725,0,0.26150957,0.500517944,1116.704506,3161.85682
134769.1548,0.89326634,0,0.25412595,0.503792256,1116.704506,3161.85682
125593.0869,0.832446246,0,0.263853962,0.48724006,1116.704506,3161.85682
118882.6363,0.787968564,0,0.271999531,0.451976134,1116.704506,3161.85682
112599.4939,0.746323133,0,0.268538505,0.437463426,1116.704506,3161.85682
106154.3141,0.703603697,0,0.265200265,0.412523467,1116.704506,3161.85682
104678.8008,0.693823816,0,0.266189446,0.400825763,1116.704506,3161.85682
103982.3284,0.689207512,0,0.26890202,0.391911641,1116.704506,3161.85682
103655.3838,0.687040484,0,0.260364426,0.346733872,1116.704506,3161.85682
104145.0276,0.690285902,0,0.244935986,0.290084633,1116.704506,3161.85682
105261.6693,0.697687139,0,0.224057494,0.221342481,1116.704506,3161.85682
106302.0249,0.704582743,0,0.198544846,0.167277264,1116.704506,3161.85682
109635.4293,0.726676952,0,0.177193424,0.129581915,1116.704506,3161.85682
114901.8479,0.761583415,0,0.159267696,0.120033564,1116.704506,3161.85682
119833.8973,0.794273638,0.006236634,0.14420083,0.133887009,1116.704506,3161.85682
121992.183,0.808579018,0.085201383,0.122728384,0.186664308,1116.704506,3161.85682
121105.4027,0.80270133,0.160511412,0.088163172,0.195006464,1116.704506,3161.85682
120832.9791,0.800895673,0.180666892,0.080964119,0.206182073,1116.704506,3161.85682
120593.9589,0.799311418,0.205985296,0.067254043,0.199205121,1116.704506,3161.85682
120299.9999,0.797363022,0.17151651,0.055872782,0.207724607,1116.704506,3161.85682
120951.4514,0.801680922,0.127152041,0.053656984,0.255711178,1116.704506,3161.85682
122401.118,0.811289489,0.059309868,0.064454028,0.347816847,1116.704506,3161.85682
124796.8081,0.827168414,0.002695184,0.082088386,0.44497399,1116.704506,3161.85682
124714.2605,0.826621278,0,0.102003235,0.531076271,1116.704506,3161.85682
124361.8106,0.824285197,0,0.118679009,0.605213779,1116.704506,3161.85682
121312.2592,0.8040724,0,0.1402432,0.661542005,1116.704506,3161.85682
116757.6983,0.773884217,0,0.166514939,0.7043675,1116.704506,3161.85682
111570.7419,0.739504439,0,0.188857093,0.719268708,1116.704506,3161.85682
106299.1345,0.704563585,0,0.207243186,0.697059,1116.704506,3161.85682
106049.0889,0.702906252,0,0.223165337,0.690018908,1116.704506,3161.85682
104552.9736,0.692989818,0,0.250422641,0.694565017,1116.704506,3161.85682
103982.3284,0.689207512,0,0.263437975,0.703841257,1116.704506,3161.85682
104256.6326,0.691025634,0,0.281558877,0.69573824,1116.704506,3161.85682
104352.6641,0.691662142,0,0.29500167,0.678789055,1116.704506,3161.85682
105333.5119,0.698163321,0,0.306238683,0.661824186,1116.704506,3161.85682
106574.9082,0.706391446,0,0.327361464,0.630478396,1116.704506,3161.85682
110406.6068,0.73178841,0,0.349022895,0.588781889,1116.704506,3161.85682
115238.5085,0.763814842,0,0.366314546,0.562640076,1116.704506,3161.85682
120235.1291,0.796933051,0.004000485,0.376353451,0.545268857,1116.704506,3161.85682
122893.4085,0.81455245,0.064640068,0.368620026,0.538960136,1116.704506,3161.85682
123088.8007,0.815847533,0.139546316,0.309415623,0.52165114,1116.704506,3161.85682
123017.0348,0.81537186,0.220048643,0.311270392,0.493738971,1116.704506,3161.85682
123080.3593,0.815791582,0.266664805,0.328886307,0.480841633,1116.704506,3161.85682
123051.7198,0.815601756,0.271185001,0.353452012,0.486132669,1116.704506,3161.85682
123561.7846,0.818982528,0.228778195,0.375896665,0.493999454,1116.704506,3161.85682
124752.3583,0.826873795,0.126324065,0.406471105,0.495482186,1116.704506,3161.85682
126927.2204,0.841289045,0.004837683,0.458164879,0.499227766,1116.704506,3161.85682
127073.5661,0.842259043,0,0.470111968,0.50373337,1116.704506,3161.85682
126733.3883,0.840004303,0,0.458155855,0.507164869,1116.704506,3161.85682
123248.1289,0.81690358,0,0.442490283,0.521503004,1116.704506,3161.85682
118350.8829,0.784444038,0,0.427744457,0.539272094,1116.704506,3161.85682
