Demand,Avail_Sol,Avail_Wind_On,Avail_Wind_Off,Hyd_In,HydRoR_In,Name
0.853814734,0.00662612,0.316917591,0.251462896,24971.33364,1231.534817,NOR
0.858279639,0.016786223,0.317752116,0.525743376,24971.33364,1231.534817,
0.852721381,0.012526794,0.502696829,0.700395524,24971.33364,1231.534817,
0.867464699,0.022446881,0.359058984,0.579272801,24971.33364,1231.534817,
0.842905352,0.020494083,0.384755998,0.574668084,24971.33364,1231.534817,
0.847828327,0.002606879,0.818780708,0.862166108,24971.33364,1231.534817,
0.871596399,0.015730471,0.484666649,0.761388819,24971.33364,1231.534817,
0.84771883,0.017763332,0.310979368,0.528645004,24971.33364,1231.534817,
0.861546909,0.012484002,0.399051387,0.557340275,24971.33364,1231.534817,
0.842373955,0.017549997,0.652629773,0.644960791,24971.33364,1231.534817,
0.84956363,0.043357311,0.253621392,0.392802291,24971.33364,1231.534817,
0.837689939,0.016398567,0.446057369,0.701147362,24971.33364,1231.534817,
0.875677568,0.030550466,0.510227782,0.661839025,21832.69578,1076.743654,
0.891056469,0.083211586,0.302221273,0.577817436,17719.99791,873.9138528,
0.922589021,0.061793659,0.221883787,0.620238188,17719.99791,873.9138528,
0.879214164,0.034369921,0.61325328,0.764812732,17719.99791,873.9138528,
0.913763314,0.092509589,0.483927018,0.785979192,17719.99791,873.9138528,
0.903357883,0.059263236,0.637172561,0.804216673,17719.99791,873.9138528,
0.878743837,0.077930249,0.173346961,0.325737893,17719.99791,873.9138528,
0.921273459,0.124204598,0.15347985,0.377829753,17719.99791,873.9138528,
0.875029519,0.094863263,0.257365459,0.585371639,17719.99791,873.9138528,
0.924589508,0.128248266,0.323467528,0.251561317,17719.99791,873.9138528,
0.927672613,0.179666503,0.256393503,0.196463729,19556.44298,964.4835469,
0.883930255,0.13969615,0.197670232,0.274836447,20048.34791,988.7432864,
0.910472571,0.11686108,0.347336209,0.552898115,20048.34791,988.7432864,
0.89359138,0.106999398,0.200981713,0.266923809,20048.34791,988.7432864,
0.87105618,0.096500806,0.225611209,0.312449553,20048.34791,988.7432864,
0.904006293,0.17581075,0.162357621,0.221196058,20048.34791,988.7432864,
0.927070223,0.301953127,0.400137116,0.316175177,20048.34791,988.7432864,
0.871743382,0.141652162,0.468016099,0.745819175,20048.34791,988.7432864,
0.898606337,0.137971784,0.47855184,0.697318262,20048.34791,988.7432864,
0.898983094,0.087003716,0.332930728,0.586944923,20048.34791,988.7432864,
0.879796442,0.135158323,0.332016807,0.357526909,20048.34791,988.7432864,
0.860957542,0.235840339,0.289088151,0.52350544,20048.34791,988.7432864,
0.905918335,0.245434622,0.214588261,0.278905072,20048.34791,988.7432864,
0.909656537,0.27774478,0.242571785,0.144578899,20048.34791,988.7432864,
0.886514676,0.281638428,0.109147589,0.132772825,20048.34791,988.7432864,
0.81359597,0.283128608,0.104225331,0.168517505,17017.72967,839.2794277,
0.816266727,0.116752623,0.254694143,0.213715597,16411.60602,809.3866559,
0.821818185,0.161193834,0.280429363,0.416208152,16411.60602,809.3866559,
0.809599419,0.22660172,0.523843361,0.596336446,16411.60602,809.3866559,
0.772059561,0.09691286,0.248772847,0.404462539,16411.60602,809.3866559,
0.799353393,0.186209106,0.19333563,0.456190979,16411.60602,809.3866559,
0.807758026,0.278152299,0.234679126,0.184633083,16411.60602,809.3866559,
0.800247565,0.313678229,0.320896954,0.228529516,16411.60602,809.3866559,
0.74493771,0.32924993,0.218439847,0.149148848,16411.60602,809.3866559,
0.771099967,0.240927961,0.087733744,0.123651842,16411.60602,809.3866559,
0.791481016,0.236627191,0.175401831,0.332643209,16411.60602,809.3866559,
0.791323816,0.204967991,0.270563111,0.744703504,16411.60602,809.3866559,
0.759622475,0.168586868,0.372951749,0.509358614,16411.60602,809.3866559,
0.795595963,0.127479583,0.362564297,0.574700484,16411.60602,809.3866559,
0.796514362,0.142862846,0.247484572,0.478641819,16411.60602,809.3866559,
0.810049336,0.308071006,0.08729261,0.369233863,16411.60602,809.3866559,
0.763335047,0.169971387,0.080456617,0.24643861,16411.60602,809.3866559,
0.788512142,0.347766161,0.107221498,0.187249598,16411.60602,809.3866559,
0.754861609,0.128105771,0.415748688,0.569141756,10051.15538,495.7023113,
0.758951941,0.20560988,0.485252636,0.636523514,8701.968874,429.1632079,
0.716673791,0.182370948,0.343750844,0.790123881,8701.968874,429.1632079,
0.729422696,0.171360339,0.341405841,0.535035927,8701.968874,429.1632079,
0.755330239,0.339054998,0.46771082,0.614718262,8701.968874,429.1632079,
0.76850851,0.443665088,0.559561532,0.571649903,8701.968874,429.1632079,
0.74972565,0.142504023,0.25650218,0.425848559,8701.968874,429.1632079,
0.687615321,0.185434158,0.10856743,0.145654211,8701.968874,429.1632079,
0.735823217,0.258048998,0.153001411,0.164985843,8701.968874,429.1632079,
0.767626576,0.352453958,0.216716578,0.331558783,8701.968874,429.1632079,
0.75071355,0.316427128,0.27448236,0.368632598,8701.968874,429.1632079,
0.702896193,0.255270117,0.299518129,0.605479158,8701.968874,429.1632079,
0.743320422,0.293779668,0.419095262,0.78191308,8701.968874,429.1632079,
0.749424331,0.255852153,0.174790715,0.32396461,8701.968874,429.1632079,
0.741722065,0.271327782,0.135217932,0.258322236,8701.968874,429.1632079,
0.745167087,0.443392407,0.265168911,0.43303019,8701.968874,429.1632079,
0.725512555,0.303310781,0.193396857,0.309428199,8701.968874,429.1632079,
0.75103565,0.211074773,0.270511902,0.45534767,8701.968874,429.1632079,
0.777867023,0.366057159,0.170198176,0.248293529,8060.098323,397.5074724,
0.693999654,0.267285146,0.282138762,0.369490179,6549.814673,323.0233889,
0.715612269,0.238385536,0.563705357,0.798125519,6549.814673,323.0233889,
0.733659575,0.338735105,0.313800265,0.473737391,6549.814673,323.0233889,
0.695710379,0.214589568,0.155781416,0.291282606,6549.814673,323.0233889,
0.723418416,0.188866403,0.244538551,0.290905581,6549.814673,323.0233889,
0.736368168,0.166336377,0.4036491,0.355990696,6549.814673,323.0233889,
0.721710626,0.234193148,0.780032383,0.812106048,6549.814673,323.0233889,
0.66879726,0.223236673,0.339045808,0.544687205,6549.814673,323.0233889,
0.712221252,0.148540629,0.447632288,0.579284397,6549.814673,323.0233889,
0.72673987,0.177535079,0.376334242,0.468384069,6549.814673,323.0233889,
0.705766498,0.177242284,0.60883568,0.632913647,6549.814673,323.0233889,
0.670737756,0.082358888,0.312275781,0.56849577,6549.814673,323.0233889,
0.72713328,0.240465949,0.372460575,0.755743042,6549.814673,323.0233889,
0.747373257,0.266901555,0.346589857,0.327372895,6549.814673,323.0233889,
0.698388814,0.214567768,0.356705285,0.444195145,6549.814673,323.0233889,
0.697799877,0.394009169,0.107255389,0.203243356,5819.621483,287.0117625,
0.760634265,0.41452186,0.195293745,0.360200892,5465.588421,269.5515801,
0.73709779,0.228613298,0.146163891,0.270519367,5465.588421,269.5515801,
0.73225252,0.234560199,0.264542969,0.302138666,5465.588421,269.5515801,
0.715955264,0.239347726,0.238890659,0.300726934,5465.588421,269.5515801,
0.744294501,0.256899712,0.082894586,0.254462402,5465.588421,269.5515801,
0.7273955,0.359867417,0.083752575,0.127909838,5465.588421,269.5515801,
0.687989392,0.16784216,0.12001013,0.379908271,5465.588421,269.5515801,
0.779587608,0.397577741,0.148911101,0.178968377,5465.588421,269.5515801,
0.732774431,0.165862509,0.175683727,0.206187201,5465.588421,269.5515801,
0.721862975,0.231382722,0.097359246,0.114697345,5465.588421,269.5515801,
0.733890952,0.192573613,0.176178328,0.35981023,5465.588421,269.5515801,
0.764803186,0.261894582,0.157071114,0.11908355,5465.588421,269.5515801,
0.767774044,0.336144846,0.346087964,0.375102388,5465.588421,269.5515801,
0.709828329,0.177535004,0.535077839,0.575928773,5465.588421,269.5515801,
0.757750153,0.254664106,0.32088736,0.318106323,5310.614283,261.9085743,
0.730016212,0.134819406,0.117029374,0.239858253,4966.227308,244.924117,
0.676939722,0.189276552,0.257450591,0.298321153,4966.227308,244.924117,
0.724100927,0.158678126,0.200801365,0.19142083,4966.227308,244.924117,
0.731574743,0.157267559,0.295531916,0.35540269,4966.227308,244.924117,
0.724132058,0.04403266,0.318898263,0.390388855,4966.227308,244.924117,
0.671590493,0.15978871,0.377438535,0.534706624,4966.227308,244.924117,
0.717897046,0.161982464,0.129708226,0.215723402,4966.227308,244.924117,
0.741533667,0.110111299,0.412143426,0.363621609,4966.227308,244.924117,
0.700327664,0.115158194,0.4309809,0.663846159,4966.227308,244.924117,
0.679308358,0.118799278,0.506465614,0.738252988,4966.227308,244.924117,
0.725835842,0.162579029,0.33412512,0.395887888,4966.227308,244.924117,
0.720709275,0.105445216,0.325746195,0.59971522,4966.227308,244.924117,
0.694375675,0.185514334,0.236639126,0.351146541,4966.227308,244.924117,
0.718278215,0.09893312,0.293156479,0.362188674,4966.227308,244.924117,
0.719700087,0.20100787,0.209699335,0.377141761,5393.137041,265.978427,
0.685720489,0.231636387,0.256657109,0.698182508,7581.04942,373.8817657,
0.732581921,0.130672922,0.172220768,0.260244908,7581.04942,373.8817657,
0.696788601,0.127431147,0.408789757,0.360644482,7581.04942,373.8817657,
0.731451588,0.141098582,0.541560518,0.567305,7581.04942,373.8817657,
0.713608392,0.100053751,0.407959613,0.558197421,7581.04942,373.8817657,
0.718825674,0.090967569,0.410425213,0.618078824,7581.04942,373.8817657,
0.743149404,0.131490647,0.662629652,0.644895221,7581.04942,373.8817657,
0.702038717,0.065040909,0.660917607,0.736885575,7581.04942,373.8817657,
0.741260516,0.186126797,0.713602353,0.887808091,7581.04942,373.8817657,
0.73847389,0.057760887,0.663306404,0.782154977,7581.04942,373.8817657,
0.739868671,0.107377932,0.408644708,0.46275094,7581.04942,373.8817657,
0.701648934,0.100925367,0.604794309,0.77465605,7581.04942,373.8817657,
0.77244797,0.113820335,0.22545406,0.488182249,12995.66745,640.9195912,
0.781147149,0.093993103,0.258179228,0.342430573,14705.54683,725.2473255,
0.751129346,0.121437472,0.483421931,0.646951598,14705.54683,725.2473255,
0.743801849,0.103374832,0.277260632,0.546050809,14705.54683,725.2473255,
0.757613034,0.061765155,0.553157527,0.783756183,14705.54683,725.2473255,
0.753854747,0.093794242,0.379509905,0.570731561,14705.54683,725.2473255,
0.710776616,0.012787177,0.597316221,0.660178623,14705.54683,725.2473255,
0.772645268,0.07134138,0.291623284,0.704203922,14705.54683,725.2473255,
0.778125408,0.072394324,0.442653404,0.824268488,14705.54683,725.2473255,
0.727403134,0.029558771,0.353114591,0.802082749,14705.54683,725.2473255,
0.765392322,0.056761351,0.61960773,0.786008614,14705.54683,725.2473255,
0.781931163,0.077437637,0.250054279,0.253487066,14705.54683,725.2473255,
0.767887903,0.104134498,0.249448364,0.348454885,14705.54683,725.2473255,
0.795116441,0.063318183,0.577153279,0.640693903,14705.54683,725.2473255,
0.790971093,0.021835652,0.474868837,0.741274664,25582.0886,1261.655996,
0.805655389,0.025792508,0.295398101,0.48870477,26559.75528,1309.872506,
0.809546693,0.022321483,0.2645597,0.381993143,26559.75528,1309.872506,
0.761848692,0.011632786,0.628471194,0.654316533,26559.75528,1309.872506,
0.814994092,0.015682294,0.240090691,0.489329771,26559.75528,1309.872506,
0.800771313,0.014070274,0.401878993,0.842303855,26559.75528,1309.872506,
0.781974294,0.02396171,0.136813457,0.103850728,26559.75528,1309.872506,
0.83472293,0.051226863,0.215858354,0.242368337,26559.75528,1309.872506,
0.83367232,0.051006958,0.261443291,0.434220434,26559.75528,1309.872506,
0.833371102,0.028756559,0.225267847,0.448392049,26559.75528,1309.872506,
0.818320023,0.011104834,0.692982859,0.808622702,26849.37094,1324.155755,
0.829692158,0.00795883,0.486821662,0.656271991,27922.6525,1377.087794,
0.850418856,0.010966323,0.33333166,0.55250126,27922.6525,1377.087794,
0.833738021,0.004291433,0.255639046,0.36220248,27922.6525,1377.087794,
0.839855514,0.016922516,0.538987316,0.687751896,27922.6525,1377.087794,
0.860223085,0.016693249,0.26367007,0.32965717,27922.6525,1377.087794,
