node,HydroRoR,Fmin,hyd_in_avg,hydror_avg,hyd_flow_min
1,4404.618026102813,0.05,23884.685151645197,2309.949551551153,5089
2,7057.029859600552,0.05,41.07647702041475,1081.7545732078959,5089
3,24922.41041145869,0.05,1865.0906362306146,5804.087445961169,5089
4,32093.014285016623,0.05,2928.668344095458,9182.290560014124,745
5,30225.204174861,0.05,5713.614330221902,6723.371971147961,5089
