L_ind,line,dist,cost,converter_cost,M,C,B,efficiency,lifetime,tcap_min,tcap_max
1,"[4, 1]",1118.0308089721718,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
2,"[4, 2]",1040.808867173679,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
3,"[5, 2]",1842.2625121145816,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
4,"[4, 3]",1076.524168863587,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
5,"[5, 3]",1183.2805332989471,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
6,"[5, 4]",1080.8474087048726,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
