Weights
83
55
52
36
36
72
66
54
48
44
46
47
67
30
37
73
75
55
41
56
48
89
46
32
50
38
25
71
57
47
47
32
53
25
27
33
41
22
26
22
21
36
39
33
24
47
48
26
22
40
34
22
38
34
49
50
24
60
27
22
33
26
23
50
36
35
37
33
40
46
48
24
22
26
37
24
37
46
35
23
23
26
21
26
24
22
38
39
44
40
24
33
50
39
31
24
49
38
48
35
23
45
64
25
22
36
37
47
38
36
24
25
31
38
50
34
26
48
34
36
35
37
38
33
39
49
23
34
24
22
40
23
35
47
49
24
23
26
24
23
48
62
34
38
48
23
25
24
46
26
33
37
25
49
35
46
49
38
55
51
48
38
46
35
29
58
33
22
41
24
24
34
25
45
26
22
24
30
43
24
47
25
39
48
55
41
34
38
38
34
49
55
48
49
46
73
61
59
65
25
84
66
66
23
56
60
41
67
64
55
73
41
36
84
55
41
61
59
14
