L_ind,line,dist,cost,converter_cost,M,C,B,efficiency,lifetime,tcap_min,tcap_max
1,"[2, 1]",471.50905847744264,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
2,"[3, 1]",869.952364563017,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
3,"[4, 1]",1074.7084731264636,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
4,"[3, 2]",581.8341996210429,400.0,150000.0,0.02,0.0,1.0,0.95,40.0,0.0,1.0e9
