node,HydroRoR,Fmin,hyd_in_avg,hydror_avg,hyd_flow_min
1,7920.614994026283,0.05,828.8972016279056,1967.2215198332815,5089
2,14276.272067880107,0.05,386.8967831559528,4065.158011364595,1
3,8203.1517169615,0.05,4428.342337462405,2112.753552948555,5089
4,1878.2675044883304,0.05,54.19443692973611,215.32611101546937,5089
